City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
161,san cristobal,7.7669,-72.225,78.98,49,71,4.47,VE,1675720607
162,bathsheba,13.2167,-59.5167,81.21,65,20,18.41,BB,1675720721
163,codrington,-38.2667,141.9667,62.76,70,55,9.91,AU,1675720721
164,novopokrovka,49.8425,36.5477,22.24,89,93,10.69,UA,1675720722
165,haines junction,60.7522,-137.5108,37.35,32,82,2.3,CA,1675720723
166,rundu,-17.9333,19.7667,66.18,95,100,2.89,NA,1675720724
167,chemax,20.65,-87.9333,72.32,93,79,3.42,MX,1675720725
168,bengkulu,-3.8004,102.2655,75.49,84,86,6.29,ID,1675720725
169,katsuura,35.1333,140.3,49.46,70,100,8.48,JP,1675720726
170,tobol,52.6844,62.5794,1.42,97,91,5.48,KZ,1675720726
171,cockburn town,21.4612,-71.1419,80.56,65,40,12.66,TC,1675720427
172,saint anthony,45.0205,-93.218,36.55,79,100,14.97,US,1675720593
173,chokurdakh,70.6333,147.9167,-25.38,99,100,2.35,RU,1675720665
174,saint-joseph,-21.3667,55.6167,75.58,83,79,10.71,RE,1675720728
175,padre bernardo,-15.35,-48.5,73.47,80,34,0.76,BR,1675720729
176,grand gaube,-20.0064,57.6608,79.2,81,77,5.99,MU,1675720730
177,aklavik,68.2191,-135.0107,-29.2,68,75,2.3,CA,1675720731
178,mount darwin,-16.7725,31.5838,65.64,95,4,1.32,ZW,1675720731
179,port lincoln,-34.7333,135.8667,65.01,78,0,15.61,AU,1675720732
180,waitati,-45.75,170.5667,70.88,42,0,6.69,NZ,1675720732
181,yerbogachen,61.2767,108.0108,-15.05,100,96,2.57,RU,1675720733
182,talnakh,69.4865,88.3972,-7.8,99,100,5.26,RU,1675720734
183,manokwari,-0.8667,134.0833,77.04,87,100,5.26,ID,1675720734
184,liuzhou,24.3126,109.3892,54.7,91,100,4.74,CN,1675720735
185,port blair,11.6667,92.75,77.47,82,27,5.19,IN,1675720735
186,koshurnikovo,54.1667,93.3,-15.25,100,85,3.4,RU,1675720736
187,la ronge,55.1001,-105.2842,16.05,62,100,23.02,CA,1675720606
188,pottstown,40.2454,-75.6496,44.35,63,35,8.01,US,1675720737
189,correntina,-13.3433,-44.6367,74.82,72,41,1.77,BR,1675720737
